map_name,thumbnail_location,map_variant,track_surface,track_length,server_name
Big Valley Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway2_oval_loop.webp,Outer Oval Loop,100% tarmac ,1650,speedway2_oval_loop
Big Valley Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway2_outer_oval.webp,Outer Oval,100% tarmac ,756,speedway2_outer_oval
Big Valley Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway2_figure_8.webp,Figure 8,100% tarmac ,670,speedway2_figure_8
Big Valley Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway2_inner_oval.webp,Inner Oval,100% tarmac ,562,speedway2_inner_oval
Bleak City,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\crm01_1.webp,Race Track,100% gravel ,3440,crm01_1
Bleak City,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\crm01_5.webp,Race Track Reverse,100% gravel ,3440,crm01_5
Bloomfield Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\dirt_speedway_figure_8.webp,Figure 8,100% dirt ,495,dirt_speedway_figure_8
Bloomfield Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\dirt_speedway_dirt_oval.webp,Dirt Oval,100% dirt ,406,dirt_speedway_dirt_oval
Bonebreaker Valley,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\bonebreaker_valley_main_circuit.webp,Main Circuit,71% gravel 29% tarmac,848,bonebreaker_valley_main_circuit
Boulder Bank Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit3_long_loop.webp,Main Route,76% gravel 24% tarmac,2880,sandpit3_long_loop
Boulder Bank Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit3_long_loop_rev.webp,Main Route Reverse,76% gravel 24% tarmac,2880,sandpit3_long_loop_rev
Boulder Bank Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit3_short_loop.webp,Short Route,72% gravel 28% tarmac,2340,sandpit3_short_loop
Boulder Bank Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit3_short_loop_rev.webp,Short Route Reverse,72% gravel 28% tarmac,2340,sandpit3_short_loop_rev
Clayridge Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed9_r1.webp,Main Circuit,65% gravel 35% tarmac,1160,mixed9_r1
Clayridge Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed9_r1_rev.webp,Main Circuit Reverse,65% gravel 35% tarmac,1160,mixed9_r1_rev
